NSAID,PGC,distance,r,i,z,I,K,vhelio,vhelio_err
137045,30099,34,12.1402,24.6606,11.5238,,7.967,1668.4,130
138201,32533,25.2,11.34,10.9421,10.6488,9.87,7.972,1678.94,127.5
139134,34583,29.1,11.2489,10.886,10.6152,,7.999,2347.59,110
149973,69342,23,11.8827,11.6667,11.2554,9.77,7.999,1185.92,107.5
135879,26649,29.6,11.7343,11.3646,11.0719,,8.032,1918.18,130
133273,12174,38.9392,11.4072,11.022,10.7693,,8.038,2680.25,170
144846,51104,36,11.5993,11.2035,10.9064,,8.078,3079.65,107.5
15340,53979,26.2,10.7684,10.3425,10.1223,10.68,8.084,2455.18,112.5
159561,34433,22.9,11.7014,11.2994,11.0672,,8.089,1362.53,130
145840,,29.2286,12.3119,12.0411,12.035,,8.104,2015.29,120
158643,31883,21.4,11.4571,11.1032,10.8822,10.66,8.12,1536.87,130
166335,55674,43.7,11.6482,11.2466,10.9712,,8.145,2921.54,127.5
146317,55725,43.7,11.8662,11.4813,11.2395,9.92,8.147,2567.76,117.5
150578,70419,31.5,11.4287,11.0382,10.7815,9.89,8.162,2309.25,155
35201,50782,21.7,12.4292,12.0473,11.797,11.05,8.167,1958.09,125
35200,50782,21.7,11.8717,11.517,11.2006,11.05,8.167,1855.23,127.5
141112,39568,40.2,11.9228,11.4373,11.0793,,8.236,2694.47,110
165082,51787,26.3,11.8913,11.5068,11.2251,,8.241,1727.04,117.5
159789,35088,23.7,11.3099,10.9588,10.7072,10.21,8.252,1930.82,147.5
138642,33371,26.1,11.0781,10.8999,10.649,,8.264,1771.38,130
100619,33371,26.1,13.0829,12.845,12.9315,,8.264,1711.62,130
165153,51932,27.9,11.5729,11.1943,10.9161,10.7,8.277,2149.51,115
133141,11638,35.8,11.5644,11.1831,10.8935,10.31,8.31,2664.59,135
150887,70795,33.9,11.7853,11.4335,11.1126,10.57,8.327,2566.16,142.5
136043,27777,20.6,12.7604,12.5974,12.4507,10.27,8.348,1618.49,135
136042,27777,20.6,11.7618,11.4297,11.1738,10.27,8.348,1626.43,132.5
144121,49563,28,11.3491,10.9628,10.6948,10.06,8.352,2014.54,120
164491,50191,26.8,11.7296,11.2695,11.013,,8.354,2224.95,115
143863,48860,29.8,11.635,11.2547,10.9662,,8.356,2295.13,110
28072,2.80235e+06,29.9079,16.6777,16.4356,16.1618,15.97,8.362,2061.94,120
129431,5193,26.9,11.7471,11.4542,11.2506,10.5,8.364,2112.38,222.5
154180,5193,26.9,11.9851,11.5675,11.2769,10.5,8.364,2132.05,225
132368,10060,38.0296,11.9653,11.5294,11.2094,10.38,8.366,2618.01,142.5
